Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.659806	0.595632	0.263402	0.255764
2	0.496440	0.474177	0.319768	0.250917
3	0.442834	0.533341	0.338812	0.240966
4	0.412873	0.484119	0.347015	0.253762
5	0.385823	0.423230	0.352481	0.300752
6	0.380652	0.450530	0.351499	0.294483
7	0.354246	0.466517	0.360765	0.269457
8	0.341525	0.453541	0.369764	0.281563
9	0.360731	0.416321	0.372782	0.279903
10	0.319296	0.391871	0.376352	0.294707
11	0.320502	0.395710	0.382573	0.296593
12	0.285223	0.355512	0.392643	0.296064
13	0.266188	0.386394	0.405143	0.283491
14	0.248000	0.335208	0.404707	0.318279
15	0.250427	0.375826	0.401022	0.316184
16	0.234560	0.404504	0.413067	0.288611
17	0.237889	0.367640	0.404727	0.314038
18	0.221340	0.351869	0.409157	0.296273
19	0.225489	0.348633	0.416442	0.293304
20	0.219908	0.335386	0.412636	0.314611
21	0.195274	0.338942	0.410957	0.292884
22	0.204948	0.335229	0.407861	0.296200
23	0.183268	0.383812	0.413618	0.280365
24	0.173866	0.347108	0.411215	0.286663
25	0.173500	0.356997	0.408386	0.316217
26	0.178381	0.331634	0.417834	0.295021
27	0.161940	0.325141	0.417267	0.308333
28	0.156305	0.330171	0.425185	0.284727
29	0.156158	0.309599	0.414121	0.318325
30	0.145945	0.335072	0.419645	0.323718
