Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.643042	0.451598	0.233868	0.296379
2	0.403746	0.438000	0.292807	0.279411
3	0.352187	0.433252	0.300420	0.283753
4	0.284239	0.332533	0.315635	0.299212
5	0.237291	0.339952	0.326102	0.289864
6	0.235479	0.306240	0.325652	0.300366
7	0.203709	0.327167	0.329592	0.298288
8	0.206255	0.353130	0.339778	0.315612
9	0.184980	0.317708	0.343526	0.310861
10	0.171441	0.322218	0.341727	0.298010
11	0.165217	0.305581	0.341754	0.314112
12	0.157267	0.315122	0.351590	0.304889
13	0.151594	0.327385	0.351984	0.314066
14	0.152897	0.352438	0.348892	0.297686
15	0.120852	0.293580	0.347012	0.321499
16	0.093039	0.319841	0.352798	0.326344
17	0.088598	0.293082	0.352703	0.302618
18	0.074194	0.303563	0.354280	0.315586
19	0.064603	0.268335	0.348527	0.318489
20	0.060186	0.308710	0.355250	0.310939
21	0.059712	0.319164	0.350203	0.294161
22	0.062423	0.295658	0.352584	0.308442
23	0.059408	0.310874	0.348041	0.303869
24	0.056375	0.299603	0.348845	0.307179
25	0.049022	0.318679	0.354144	0.303016
26	0.052391	0.294422	0.355313	0.297601
27	0.048827	0.323150	0.352061	0.305700
28	0.047722	0.335770	0.361291	0.308942
29	0.040556	0.325688	0.369557	0.331983
30	0.041812	0.344198	0.374193	0.314981
