Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.262676	0.251409	0.290008	0.236337
2	0.189573	0.216677	0.327588	0.257631
3	0.185974	0.213543	0.340743	0.248896
4	0.170360	0.206692	0.366273	0.258539
5	0.159698	0.209015	0.370347	0.259389
6	0.156010	0.191698	0.390554	0.273577
7	0.150747	0.208621	0.393297	0.250812
8	0.146413	0.174363	0.386902	0.303723
9	0.135987	0.167496	0.402491	0.291135
10	0.137780	0.194074	0.404958	0.269344
11	0.134046	0.158724	0.406538	0.289656
12	0.122019	0.175167	0.418492	0.294140
13	0.121410	0.163703	0.414567	0.274275
14	0.120481	0.162744	0.429234	0.290528
15	0.104025	0.144476	0.429397	0.300195
16	0.099568	0.148907	0.449544	0.318510
17	0.094964	0.167409	0.455653	0.307996
18	0.092213	0.158607	0.451210	0.303419
19	0.095911	0.149208	0.457924	0.314405
20	0.090720	0.159015	0.445293	0.306435
21	0.094210	0.153119	0.452107	0.312770
22	0.086007	0.151904	0.457849	0.302912
23	0.077973	0.139914	0.450259	0.311876
24	0.076833	0.139639	0.461909	0.315515
25	0.071690	0.142649	0.464076	0.312180
26	0.074088	0.149575	0.463268	0.300028
27	0.071300	0.143274	0.462580	0.328470
28	0.073087	0.140524	0.463762	0.321617
29	0.071573	0.143109	0.475201	0.302926
30	0.067354	0.152637	0.469088	0.305936
