Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.453125	0.492483	0.108029	0.098507
2	0.423187	0.532706	0.104962	0.099129
3	0.404365	0.713385	0.115365	0.135539
4	0.384443	0.657262	0.125595	0.118673
5	0.368826	0.587110	0.124991	0.137050
6	0.354023	0.437601	0.134515	0.124423
7	0.325246	0.338422	0.136883	0.125015
8	0.341749	0.314448	0.142665	0.116565
9	0.312284	0.440682	0.149351	0.141909
10	0.316869	0.366988	0.145978	0.141143
11	0.313166	0.340486	0.162061	0.147610
12	0.285419	0.424646	0.163528	0.164730
13	0.294034	0.498533	0.177284	0.162588
14	0.272001	0.340709	0.173990	0.162268
15	0.272649	0.323454	0.177607	0.170360
16	0.248773	0.351765	0.188132	0.171463
17	0.245752	0.431356	0.197363	0.168845
18	0.263637	0.391151	0.187863	0.150757
19	0.249933	0.325045	0.197376	0.181234
20	0.241633	0.366973	0.202887	0.187371
21	0.228416	0.401289	0.204229	0.176202
22	0.229885	0.381534	0.214241	0.202271
23	0.210850	0.317282	0.215311	0.181997
24	0.227434	0.366733	0.212667	0.206588
25	0.225127	0.338002	0.224749	0.197573
26	0.206395	0.365240	0.222364	0.181738
27	0.218436	0.342556	0.232635	0.190719
28	0.192142	0.310755	0.233422	0.189047
29	0.201429	0.353218	0.233921	0.189461
30	0.183766	0.353043	0.236279	0.194823
