Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.986357	0.450652	0.205342	0.194898
2	0.573155	0.345938	0.289375	0.240424
3	0.523583	0.308410	0.313938	0.241008
4	0.474078	0.343285	0.332953	0.234133
5	0.494411	0.282367	0.340334	0.267113
6	0.437349	0.381967	0.351372	0.234351
7	0.424904	0.276874	0.355823	0.273395
8	0.385587	0.299475	0.388100	0.252439
9	0.381293	0.301712	0.383411	0.270810
10	0.390434	0.367932	0.388346	0.229879
11	0.362397	0.286133	0.391883	0.263313
12	0.356242	0.278240	0.408312	0.278451
13	0.343960	0.241141	0.405215	0.288874
14	0.322794	0.262673	0.419573	0.298846
15	0.348812	0.280120	0.410559	0.293164
16	0.321958	0.257473	0.428505	0.285874
17	0.330111	0.230428	0.438945	0.324352
18	0.316021	0.258483	0.431369	0.279391
19	0.293441	0.348280	0.449938	0.223910
20	0.276417	0.297779	0.443404	0.279526
21	0.286019	0.228669	0.435894	0.327839
22	0.283106	0.237177	0.442695	0.292029
23	0.274097	0.237249	0.446328	0.307735
24	0.274624	0.306853	0.448850	0.262411
25	0.279465	0.245873	0.440887	0.322303
26	0.262169	0.259530	0.439900	0.327243
27	0.288717	0.249506	0.448782	0.309487
28	0.234016	0.206234	0.484771	0.329669
29	0.225923	0.222822	0.469741	0.314975
30	0.208213	0.205331	0.472328	0.324204
