Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.854176	0.415179	0.158941	0.195243
2	0.632629	0.353947	0.210114	0.225065
3	0.560569	0.325423	0.233574	0.262160
4	0.501128	0.269764	0.254275	0.261548
5	0.474718	0.262303	0.264494	0.259725
6	0.412730	0.266762	0.280049	0.269212
7	0.408783	0.264509	0.279227	0.265948
8	0.347712	0.240883	0.301491	0.305346
9	0.344898	0.227396	0.307701	0.318013
10	0.323295	0.237408	0.308593	0.298829
11	0.298889	0.266028	0.311100	0.299443
12	0.303859	0.247037	0.304312	0.290288
13	0.259078	0.257840	0.315278	0.292803
14	0.243197	0.255660	0.330067	0.327591
15	0.222077	0.398566	0.346071	0.273405
16	0.202129	0.253199	0.348143	0.341063
17	0.191361	0.247296	0.357787	0.327581
18	0.195475	0.257781	0.362543	0.337599
19	0.163905	0.227462	0.355588	0.348696
20	0.148954	0.274028	0.373285	0.349926
21	0.184392	0.254641	0.360265	0.360769
22	0.149738	0.257782	0.367892	0.320528
23	0.148239	0.249580	0.365468	0.343887
24	0.136066	0.245636	0.378598	0.373217
25	0.119279	0.231261	0.376101	0.346240
26	0.112752	0.293624	0.365255	0.321801
27	0.127464	0.353765	0.360602	0.319636
28	0.097352	0.310318	0.357622	0.339536
29	0.097634	0.281295	0.371901	0.367584
30	0.093134	0.304856	0.376385	0.341311
