Epoch	Train_Loss	Val_Loss	Train_mIoU	Val_mIoU
1	0.565619	0.499142	0.318942	0.290940
2	0.423427	0.381559	0.355181	0.283650
3	0.370628	0.411103	0.368582	0.300045
4	0.316989	0.371444	0.385580	0.302419
5	0.303191	0.376988	0.385657	0.288104
6	0.278657	0.349190	0.405347	0.292851
7	0.270501	0.349223	0.396111	0.285871
8	0.244127	0.326194	0.420933	0.342211
9	0.247660	0.373238	0.413383	0.283722
10	0.228506	0.347045	0.426504	0.287171
11	0.214288	0.342665	0.439156	0.307299
12	0.205544	0.355792	0.424054	0.293596
13	0.206716	0.310343	0.433103	0.311319
14	0.196939	0.311884	0.434026	0.306551
15	0.182584	0.300453	0.442340	0.302378
16	0.160734	0.298573	0.453023	0.302501
17	0.151117	0.291458	0.450774	0.319181
18	0.148075	0.297458	0.441264	0.319669
19	0.136695	0.309124	0.455399	0.318858
20	0.138292	0.295858	0.443954	0.314662
21	0.129999	0.283106	0.454710	0.313453
22	0.122117	0.279863	0.451965	0.315281
23	0.117231	0.281273	0.458434	0.331334
24	0.111001	0.276791	0.458504	0.307887
25	0.116005	0.270057	0.455746	0.326966
26	0.109543	0.277832	0.464398	0.326530
27	0.109058	0.270125	0.457656	0.323670
28	0.102725	0.265471	0.462776	0.328909
29	0.103543	0.254622	0.461634	0.340822
30	0.106627	0.281365	0.467585	0.303846
